date, value
1/10/2022,22.4138
1/11/2022,23.6186
1/12/2022,22.2258
1/1/2023,23.1257
1/2/2023,22.5218
1/3/2023,23.3113
1/4/2023,23.6526
1/5/2023,23.7113
1/6/2023,25.2461
1/7/2023,26.0322
1/8/2023,25.571
1/9/2023,24.3252
